timestamp,value,Rolling Z-Score_score,ARIMA Residual_score,Isolation Forest_score,Rolling Z-Score_is_anomaly,ARIMA Residual_is_anomaly,Isolation Forest_is_anomaly
2015-04-06 09:47:53,9,0.0,0.03897502626869318,-0.1593323921401259,0,0,0
2015-04-06 09:52:53,3,1.8433527478908622,0.5524332960299836,-0.006173362277474337,0,0,0
2015-04-06 09:57:53,9,0.23481448978209132,0.16199481384659867,-0.1593323921401259,0,0,0
2015-04-06 10:02:53,5,0.9923811375588579,0.48591035628660795,-0.09291333233271082,0,0,0
2015-04-06 10:07:53,7,0.3261040935560323,0.3648241751140473,-0.13967217843668406,0,0,0
2015-04-06 10:12:53,5,0.9090055444349936,0.5313608077333195,-0.09291333233271082,0,0,0
2015-04-06 10:17:53,5,0.7686669020889519,0.5498662273786085,-0.09291333233271082,0,0,0
2015-04-06 10:22:53,8,0.32610409355603676,0.34832841485787247,-0.15754248659580378,0,0,0
2015-04-06 10:27:53,17,2.2628940883693485,0.2915193783897493,-0.16104179877729508,0,0,0
2015-04-06 10:32:53,10,0.652495513352526,0.23448604346671045,-0.1616838357812761,0,0,0
2015-04-06 10:37:53,8,0.07001400420143909,0.395438596774786,-0.15754248659580378,0,0,0
2015-04-06 10:42:53,11,0.7927047994598241,0.1914037363289184,-0.1707567781886814,0,0,0
2015-04-06 10:47:53,3,1.1627479402830452,0.7889157835235834,-0.006173362277474337,0,0,0
2015-04-06 10:52:53,12,0.9534951523030076,0.14663000995517178,-0.17017633243386032,0,0,0
2015-04-06 10:57:53,6,0.5348170616196701,0.5975562397927073,-0.12044453335880606,0,0,0
2015-04-06 11:02:53,7,0.3295600015609558,0.5377752070321484,-0.13967217843668406,0,0,0
2015-04-06 11:07:53,19,2.0044978242392393,0.32432582117396724,-0.14839808963782342,0,0,0
2015-04-06 11:12:53,9,0.12464639250235635,0.4171623134256884,-0.1593323921401259,0,0,0
2015-04-06 11:17:53,11,0.2054794375699945,0.2834443082172582,-0.1707567781886814,0,0,0
2015-04-06 11:22:53,10,0.05664687232930863,0.36811971548123185,-0.1616838357812761,0,0,0
2015-04-06 11:27:53,12,0.5516837357903209,0.2337611828049428,-0.17017633243386032,0,0,0
